id_producto,codigo_barras,nombre,descripcion,id_categoria,precio_venta_actual,stock_minimo_alerta,activo,creado_en,modificado_en,creado_por,modificado_por
50,7861000400256,Aguardiente Zhumir Seco 750ml,Licor destilado tradicional,4,6.50,15.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
51,7861000500017,Pan de Molde Bimbo Blanco Grande 550g,Pan de sándwich blanco enriquecido,5,2.65,30.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
52,7861000500024,Pan Integral Bimbo 550g,Pan de molde con fibra integral,5,2.85,25.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
53,7861000500031,Pan de Hamburguesa Bimbo x4,Pan suave con ajonjolí,5,1.90,20.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
54,7861000500048,Tostadas Integrales Supan 200g,Tostadas crujientes de trigo integral,5,1.45,30.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
55,7861000500055,Bizcochos de Cayambe 200g,Bizcochos tradicionales crocantes,5,1.80,15.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
56,7861000500062,Tortillas de Trigo Rapiditas Bimbo x10,Tortillas para fajitas o wraps,5,2.30,25.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
57,7861000500079,Croissants de Mantequilla pack x6,Panes de hojaldre horneados,5,2.50,15.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
58,7861000500086,Galletas de Sal Amor Ritz 100g,Galletas saladas crujientes,5,0.90,40.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
59,7861000500093,Chiffon de Naranja Pastelería,Bizcocho esponjoso sabor naranja,5,3.80,8.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
60,7861000500109,Orejas de Hojaldre Dulces x6,Masas dulces horneadas crujientes,5,1.95,12.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
61,7861000500116,Pan de Yuca Horneado Congelado x10,Panaes de yuca con queso listos,5,3.20,15.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
62,7861000500123,Muffin de Chocolate Unidad,Panecillo dulce con gotas de chocolate,5,0.95,35.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
63,7861000500130,Pan de Molde Multigrano Supan 550g,Pan con semillas de lino y chía,5,2.95,20.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
64,7861000500147,Base para Pizza Prepizzas x2,Bases de pizza listas para armar,5,2.10,15.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
65,7861000500154,Empanadas de Viento de Queso x6,Empanadas de harina con queso,5,1.85,20.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
66,7861000500161,Cake de Chocolate con Fudge,Pastel húmedo de chocolate entero,5,6.90,5.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
67,7861000500178,Pan Pita Blanco Sanissimo x6,Pan plano tipo árabe,5,1.70,15.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
68,7861000500185,Galletas Ducales Taco 294g,Galletas semi-dulces toque secreto,5,1.80,30.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
69,7861000500192,Galletas Club Social pack x9,Galletas saladas empacadas de viaje,5,1.99,40.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
70,7861000500208,Pan Baguette de la Casa Unidad,Pan crocante estilo francés,5,0.85,50.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
71,7861000500215,Rosquitas de Sal Carchenses 200g,Rosquitas crocantes tradicionales,5,1.10,20.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
72,7861000500222,Grissinis de Orégano 150g,Palitos de pan crujientes,5,1.30,15.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
73,7861000500239,Pan de Dulce con Manjar x6,Masa dulce rellena de dulce de leche,5,1.50,20.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
74,7861000500246,Masa de Hojaldre Hojalpan 500g,Masa laminada lista para usar,5,2.40,10.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
75,7861000500253,Alfajores de Maicena pack x4,Postres suaves rellenos de manjar,5,1.80,15.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
76,7861000200016,Pechuga de Pollo Entera Mr. Pollo 1kg,Pechuga fresca con hueso y piel,2,5.20,20.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
77,7861000200023,Muslos de Pollo Mr. Pollo 1kg,Porciones de muslo de pollo fresco,2,4.10,20.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
78,7861000200030,Lomo de Res Premium 1kg,Corte fino de carne de res tierna,2,11.50,10.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
79,7861000200047,Carne Molida Especial Res 1kg,Carne magra molida de primera,2,6.80,15.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
80,7861000200054,Chuleta de Cerdo Mr. Chancho 1kg,Chuletas de lomo de cerdo con hueso,2,5.90,15.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
81,7861000200061,Costilla de Cerdo BBQ Mr. Chancho 1kg,Costillas de cerdo ideales para asar,2,7.80,10.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
82,7861000200078,Filete de Corvina Fresco 1kg,Pescado blanco fileteado limpio,2,9.50,8.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
83,7861000200085,Camarón Pelado y Desvenado 500g,Camarón ecuatoriano listo para cocinar,2,5.40,15.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
84,7861000200092,Carne para Estofado de Res 1kg,Cortes de res picados listos,2,6.20,20.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
85,7861000200108,Alitas de Pollo Mr. Pollo 1kg,Alitas frescas de pollo para freír,2,4.50,20.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
86,7861000200115,Milanesas de Res Empanadas x4,Filetes de carne de res listos,2,5.10,15.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
87,7861000200122,Lomo Fino de Cerdo Mr. Chancho 1kg,Corte de cerdo tierno y sin grasa,2,8.20,10.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
88,7861000200139,Filete de Salmón Importado 500g,Filete de salmón premium fresco,2,14.50,6.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
89,7861000200146,Carne de Cordero en chuleta 1kg,Corte selecto de cordero nacional,2,12.90,5.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
90,7861000200153,Patas de Pollo Limpias 1kg,Patitas de pollo para caldos,2,2.10,15.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
91,7861000200160,Mondongo de Res Limpio 1kg,Pancita de res para guisados,2,3.80,10.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
92,7861000200177,Tripa de Res para Asar 1kg,Chinchulines preparados para parrillada,2,4.20,10.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
93,7861000200184,Carne de Pavo Troceada Soprano 1kg,Carne de pavo congelada magra,2,6.90,12.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
94,7861000200191,Lengua de Res Fresca Unidad,Pieza entera de lengua de res limpia,2,8.50,5.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
95,7861000200207,Codillo de Cerdo Ahumado 1kg,Pernil de cerdo ahumado para sopas,2,5.50,10.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
96,7861000200214,Gizzard de Pollo (Mollejas) 1kg,Mollejas de pollo frescas,2,2.80,15.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
97,7861000200221,Filete de Tilapia Fresca 1kg,Pescado de cultivo fileteado,2,6.10,15.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
98,7861000200238,Hígado de Res Fresco 1kg,Hígado de res rico en hierro,2,3.40,10.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
99,7861000200245,Corazón de Res Troceado 1kg,Ideal para anticuchos o guisados,2,3.20,10.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
100,7861000200252,Pulpa de Cangrejo Real 250g,Carne de cangrejo seleccionada lista,2,8.90,8.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
101,7861000300013,Mortadela Plumrose Tempe 250g,Mortadela tradicional rebanada,3,1.45,30.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
102,7861000300020,Jamón de Cerdo Especial Juris 250g,Jamón cocido de pierna selecta,3,2.80,30.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
103,7861000300037,Salchicha de Pollo Plumrose 400g,Salchichas suaves de pollo,3,1.90,40.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
104,7861000300044,Tocino Ahumado Rebanado Juris 200g,Láminas de tocino crujiente,3,3.10,25.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
105,7861000300051,Chorizo Cuencano La Europea 400g,Chorizo criollo estilo cuencano,3,3.80,20.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
106,7861000300068,Salami Ahumado La Europea 150g,Salami rebanado para tablas o pizza,3,2.95,20.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
107,7861000300075,Jamón de Pavo Premium Juris 250g,Jamón de pechuga de pavo bajo en grasa,3,3.40,25.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
108,7861000300082,Salchicha Frankfurt La Europea 350g,Salchichas premium para hot dog,3,2.90,30.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
109,7861000300099,Chorizo Parrillero Plumrose 400g,Chorizos gruesos para asar,3,3.99,20.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
110,7861000300105,Pate de Hígado de Cerdo Juris 150g,Pasta untable de hígado sazonado,3,1.25,15.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
111,7861000300112,Cabano Picante La Europea 120g,Snack de embutido seco picante,3,1.90,15.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
112,7861000300129,Queso de Chancho Tradicional Juris 250g,Embutido gelatinoso de cabeza de cerdo,3,1.60,20.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
113,7861000300136,Jamón Serrano Rebanado Importado 100g,Jamón curado maduro,3,4.50,12.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
114,7861000300143,Chorizo Español Sarta 200g,Chorizo curado con pimentón,3,3.20,15.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
115,7861000300150,Pastrami de Res Rebanado 150g,Pecho de res curado y sazonado,3,3.60,10.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
116,7861000300167,Salchicha Alemana Juris 350g,Salchichas blancas sazonadas,3,3.15,20.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
117,7861000300174,Chistorra Vasca La Europea 200g,Embutido delgado para freír o asar,3,2.70,15.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
118,7861000300181,Jamón con Queso Rebanado Plumrose 200g,Jamón cocido con centro de queso,3,2.45,25.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
119,7861000300198,Pepperoni Rebanado para Pizza 150g,Embutido curado picante,3,2.80,20.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
120,7861000300204,Morcilla con Arroz Cuencana 350g,Embutido de sangre con arroz y especias,3,2.50,15.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
121,7861000300211,Mortadela con Pistacho La Europea 250g,Mortadela fina con frutos secos,3,2.20,15.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
122,7861000300228,Longaniza de Cerdo Tradicional 400g,Embutido embutido en tripa natural,3,3.10,15.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
123,7861000300235,Jamón de Pollo Rebanado Juris 250g,Alternativa magra al jamón de cerdo,3,2.65,25.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
124,7861000300242,Salchicha de Pavo Plumrose 400g,Salchichas de carne de pavo ligera,3,2.15,30.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
125,7861000300259,Chorizo Argentino para Choripán x4,Chorizo parrillero criollo,3,4.20,15.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
126,7861001100018,Papas Fritas Corte Recto McCains 1kg,Papas prefritas congeladas listas,11,3.60,30.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
127,7861001100025,Nuggets de Pollo Fritz 500g,Bocaditos de pollo empanados listos,11,4.10,20.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
128,7861001100032,Hamburguesas de Res Fritz x4,Carne moldeada lista para asar,11,2.99,25.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
129,7861001100049,Pizza Congelada Personal Americana Dr. Oetker,Pizza con jamón y queso para horno,11,3.85,15.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
130,7861001100056,Mezcla de Vegetales Congelados Hortana 500g,"Brócoli, coliflor y zanahoria",11,1.90,25.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
131,7861001100063,Pulpa de Guanábana Congelada 500g,Pulpa de fruta natural pasteurizada,11,2.40,20.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
132,7861001100070,Lasaña de Carne lista El Gourmet 400g,Lasaña horneable congelada,11,4.50,12.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
133,7861001100087,Waffles Congelados Eggo x6,Waffles listos para tostadora,11,3.10,15.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
134,7861001100094,Fresas Congeladas Hortana 500g,Fresas enteras seleccionadas congeladas,11,2.60,20.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
135,7861001100100,Aros de Cebolla Rebozados McCains 400g,Aros de cebolla listos para freír,11,2.95,15.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
136,7861001100117,Dedos de Queso Mozzarella Fritz 350g,Bastones de queso empanados,11,4.20,15.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
137,7861001100124,Pulpa de Maracuyá Congelada 500g,Pulpa natural ideal para jugos,11,2.10,20.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
138,7861001100131,Pescado Apanado Filetes Congelados x4,Filetes de pescado blanco listos,11,4.99,15.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
139,7861001100148,Yuca Troceada Congelada Hortana 1kg,Yuca lista para hervir o freír,11,1.80,20.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
140,7861001100155,Arveja y Zanahoria Picada Hortana 500g,Legumbres congeladas al vapor,11,1.55,25.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
141,7861001100162,Empanadas de Verde Congeladas x6,Masa de plátano verde con queso,11,2.80,20.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
142,7861001100179,Tequeños de Queso Congelados x12,Rollitos de masa de harina con queso,11,3.90,15.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
143,7861001100186,Helado Magnum Almendras Unidad,Paleta helada de vainilla con chocolate,11,1.60,40.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
144,7861001100193,Pastel de Choclo Congelado 500g,Tarta tradicional de maíz tierno,11,3.10,10.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
145,7861001100209,Maíz Dulce desgranado Hortana 500g,Granos de maíz dulce congelados,11,1.75,25.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
146,7861001100216,Pechuguitas de Pollo Apanadas Nuggetón 500g,Piezas de pechuga moldeadas crujientes,11,4.60,15.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
147,7861001100223,Pulpa de Mora Congelada 500g,Mora seleccionada licuada y congelada,11,2.15,20.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
148,7861001100230,Hambuguesas de Pollo Fritz x4,Carne de pollo moldeada sazonada,11,2.80,25.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
149,7861001100247,Papas Rústicas en Gajos McCains 750g,Gajos de papa sazonados con cáscara,11,3.40,20.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
150,7861001100254,Tarta de Manzana Congelada Sara Lee,Tarta dulce de manzana para calentar,11,6.50,8.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
151,7861000600014,Plátano Cavendish (Seda) de Exportación 1kg,Plátano amarillo seleccionado dulce,6,0.90,40.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
