id_tarjeta,id_cliente,codigo_tarjeta,puntos_acumulados,fecha_afiliacion,activo,creado_en,modificado_en,creado_por,modificado_por
17,23,DM360-00000023,3479,2022-12-28 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
18,24,DM360-00000024,487,2025-01-28 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
19,25,DM360-00000025,2481,2024-05-28 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
20,27,DM360-00000027,3208,2023-04-16 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
21,29,DM360-00000029,2478,2021-12-02 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
22,30,DM360-00000030,553,2022-08-15 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
23,31,DM360-00000031,3355,2023-09-06 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
24,32,DM360-00000032,576,2021-12-07 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
25,34,DM360-00000034,106,2025-09-02 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
26,35,DM360-00000035,1609,2026-03-11 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
27,37,DM360-00000037,3935,2026-03-28 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
28,39,DM360-00000039,4329,2025-02-05 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
29,41,DM360-00000041,4696,2022-11-08 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
30,42,DM360-00000042,792,2026-06-06 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
31,43,DM360-00000043,4443,2024-09-17 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
32,44,DM360-00000044,2599,2021-12-20 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
33,45,DM360-00000045,3359,2022-08-06 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
34,46,DM360-00000046,2543,2021-11-27 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
35,47,DM360-00000047,722,2026-04-11 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
36,48,DM360-00000048,4102,2024-02-24 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
37,49,DM360-00000049,3502,2024-06-18 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
38,51,DM360-00000051,1281,2025-11-13 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
39,52,DM360-00000052,2614,2024-06-20 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
40,53,DM360-00000053,2787,2022-04-27 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
41,54,DM360-00000054,148,2022-07-23 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
42,55,DM360-00000055,3434,2023-06-09 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
43,57,DM360-00000057,363,2025-04-20 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
44,58,DM360-00000058,656,2023-05-22 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
45,59,DM360-00000059,4645,2024-08-24 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
46,60,DM360-00000060,983,2025-09-08 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
47,61,DM360-00000061,4969,2026-05-19 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
48,62,DM360-00000062,251,2025-01-22 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
49,64,DM360-00000064,2107,2023-05-14 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
50,66,DM360-00000066,2540,2024-01-17 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
51,67,DM360-00000067,4898,2023-02-07 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
52,68,DM360-00000068,2587,2023-01-12 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
53,69,DM360-00000069,4987,2025-06-09 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
54,70,DM360-00000070,3459,2024-04-04 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
55,71,DM360-00000071,3921,2024-11-13 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
56,72,DM360-00000072,35,2026-02-12 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
57,73,DM360-00000073,3999,2026-02-15 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
58,74,DM360-00000074,4247,2025-08-06 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
59,76,DM360-00000076,3346,2021-07-25 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
60,77,DM360-00000077,2305,2024-02-21 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
61,78,DM360-00000078,3843,2025-10-06 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
62,79,DM360-00000079,2494,2024-09-14 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
63,80,DM360-00000080,652,2025-08-28 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
64,81,DM360-00000081,617,2024-04-25 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
65,82,DM360-00000082,3279,2022-11-05 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
66,83,DM360-00000083,2750,2023-03-14 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
67,84,DM360-00000084,1133,2021-10-29 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
68,85,DM360-00000085,3510,2021-10-26 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
69,86,DM360-00000086,2096,2022-09-06 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
70,87,DM360-00000087,4913,2021-08-05 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
71,88,DM360-00000088,4746,2024-04-23 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
72,89,DM360-00000089,2647,2024-04-11 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
73,90,DM360-00000090,2470,2024-02-25 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
74,91,DM360-00000091,4415,2025-04-03 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
75,92,DM360-00000092,4846,2021-12-10 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
76,93,DM360-00000093,433,2026-06-16 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
77,94,DM360-00000094,4865,2025-10-13 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
78,95,DM360-00000095,111,2022-11-12 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
79,96,DM360-00000096,1249,2023-11-22 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
80,97,DM360-00000097,1290,2023-03-08 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
81,98,DM360-00000098,1960,2023-11-22 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
82,99,DM360-00000099,4541,2022-06-30 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
83,100,DM360-00000100,896,2023-04-27 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
84,102,DM360-00000102,706,2024-04-24 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
85,103,DM360-00000103,4726,2025-08-25 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
86,104,DM360-00000104,2961,2024-06-08 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
87,106,DM360-00000106,751,2024-03-11 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
88,108,DM360-00000108,4788,2026-03-20 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
89,110,DM360-00000110,3757,2026-05-12 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
90,112,DM360-00000112,758,2025-05-22 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
91,113,DM360-00000113,2101,2023-08-27 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
92,114,DM360-00000114,3395,2025-04-05 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
93,115,DM360-00000115,2081,2024-03-21 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
94,116,DM360-00000116,1593,2023-08-15 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
95,117,DM360-00000117,2698,2025-06-15 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
96,118,DM360-00000118,4463,2025-08-13 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
97,119,DM360-00000119,4101,2023-07-31 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
98,120,DM360-00000120,1300,2022-06-16 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
99,121,DM360-00000121,1090,2021-12-07 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
100,122,DM360-00000122,851,2025-01-30 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
101,124,DM360-00000124,415,2023-07-24 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
102,128,DM360-00000128,2720,2021-12-03 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
103,130,DM360-00000130,1489,2023-02-01 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
104,131,DM360-00000131,1740,2022-09-11 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
105,132,DM360-00000132,3767,2025-11-19 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
106,133,DM360-00000133,2443,2023-03-15 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
107,134,DM360-00000134,413,2023-12-17 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
108,135,DM360-00000135,4366,2023-12-30 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
109,136,DM360-00000136,2588,2023-02-25 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
110,137,DM360-00000137,1002,2022-09-16 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
111,139,DM360-00000139,2673,2024-04-29 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
112,141,DM360-00000141,1113,2021-11-13 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
113,142,DM360-00000142,528,2023-12-11 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
114,143,DM360-00000143,3776,2025-09-12 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
115,145,DM360-00000145,1379,2024-04-05 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
116,146,DM360-00000146,2650,2023-02-11 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
117,147,DM360-00000147,2335,2025-01-03 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
118,148,DM360-00000148,3922,2024-08-13 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
119,149,DM360-00000149,1707,2024-10-20 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
120,150,DM360-00000150,1763,2024-03-21 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
121,151,DM360-00000151,428,2025-07-03 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
122,152,DM360-00000152,3532,2025-11-30 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
123,154,DM360-00000154,1863,2021-11-09 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
124,155,DM360-00000155,894,2023-11-15 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
125,156,DM360-00000156,378,2024-02-13 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
126,158,DM360-00000158,2279,2021-09-27 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
127,159,DM360-00000159,3786,2024-04-04 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
128,160,DM360-00000160,54,2026-06-30 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
129,161,DM360-00000161,3166,2022-04-20 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
130,162,DM360-00000162,3916,2025-06-07 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
131,163,DM360-00000163,2347,2022-08-25 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
132,164,DM360-00000164,4539,2025-08-13 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
133,166,DM360-00000166,2123,2022-09-21 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
134,167,DM360-00000167,2784,2022-10-31 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
135,169,DM360-00000169,1147,2022-01-20 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
136,170,DM360-00000170,3085,2022-04-07 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
137,171,DM360-00000171,2310,2024-12-19 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
138,172,DM360-00000172,4802,2025-11-21 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
139,173,DM360-00000173,1970,2022-09-11 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
140,175,DM360-00000175,3106,2022-08-24 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
141,176,DM360-00000176,3855,2024-04-12 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
142,178,DM360-00000178,4380,2025-09-13 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
143,179,DM360-00000179,325,2024-10-08 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
144,181,DM360-00000181,3052,2022-03-21 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
145,182,DM360-00000182,3186,2023-11-09 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
146,183,DM360-00000183,4672,2026-06-04 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
147,184,DM360-00000184,1702,2024-06-14 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
148,185,DM360-00000185,4168,2023-08-31 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
149,186,DM360-00000186,3552,2026-04-04 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
150,187,DM360-00000187,1549,2021-07-25 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
151,188,DM360-00000188,3232,2024-09-11 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
152,190,DM360-00000190,2163,2023-08-03 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
153,191,DM360-00000191,3759,2022-09-18 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
154,192,DM360-00000192,1005,2022-11-01 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
155,193,DM360-00000193,1455,2024-08-15 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
156,195,DM360-00000195,2887,2025-10-18 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
157,196,DM360-00000196,482,2023-12-25 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
158,197,DM360-00000197,624,2021-08-24 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
159,199,DM360-00000199,1583,2022-05-10 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
160,200,DM360-00000200,2842,2024-10-25 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
161,201,DM360-00000201,4204,2024-01-25 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
162,202,DM360-00000202,2003,2024-06-05 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
163,203,DM360-00000203,2786,2024-11-28 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
164,205,DM360-00000205,3583,2022-07-19 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
165,206,DM360-00000206,3249,2023-07-31 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
166,207,DM360-00000207,2971,2025-10-04 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
167,209,DM360-00000209,2937,2025-09-06 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
168,210,DM360-00000210,3544,2023-12-24 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
169,211,DM360-00000211,2747,2024-02-22 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
170,213,DM360-00000213,2236,2024-02-13 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
171,215,DM360-00000215,172,2023-03-29 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
172,216,DM360-00000216,2144,2025-02-04 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
173,219,DM360-00000219,2859,2025-05-03 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
174,221,DM360-00000221,2270,2022-07-16 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
175,222,DM360-00000222,1517,2024-06-19 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
176,223,DM360-00000223,4348,2026-01-10 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
177,225,DM360-00000225,4021,2023-09-18 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
178,228,DM360-00000228,2615,2022-11-30 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
179,229,DM360-00000229,4172,2021-11-03 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
180,230,DM360-00000230,3226,2024-02-25 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
181,231,DM360-00000231,2332,2026-01-01 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
182,232,DM360-00000232,2847,2023-11-10 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
183,233,DM360-00000233,840,2023-11-23 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
184,234,DM360-00000234,396,2022-10-12 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
185,236,DM360-00000236,1291,2024-12-17 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
186,237,DM360-00000237,3604,2022-01-10 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
187,238,DM360-00000238,3200,2025-08-11 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
188,239,DM360-00000239,2432,2026-07-01 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
189,240,DM360-00000240,4141,2023-03-26 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
190,241,DM360-00000241,4090,2021-10-20 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
191,242,DM360-00000242,1679,2026-02-11 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
192,243,DM360-00000243,239,2026-04-22 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
193,245,DM360-00000245,4797,2022-06-20 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
194,248,DM360-00000248,4632,2025-01-14 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
195,250,DM360-00000250,3454,2022-07-31 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
