id_detalle_despacho,id_despacho_sucursal,id_producto,cantidad_enviada,cantidad_recibida,creado_en,modificado_en,creado_por,modificado_por
48,5,356,35.322,19.582,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
49,5,259,35.322,9.168,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
50,5,234,35.322,20.865,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
51,6,248,35.322,13.908,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
52,6,4,35.322,13.636,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
53,6,124,35.322,26.660,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
54,6,135,35.322,8.828,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
55,6,93,35.322,5.012,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
56,6,276,35.322,11.769,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
57,6,131,35.322,21.186,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
58,6,356,35.322,27.670,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
59,6,259,35.322,35.098,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
60,6,234,35.322,2.549,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
61,7,248,35.322,27.312,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
62,7,4,35.322,9.907,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
63,7,124,35.322,20.122,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
64,7,135,35.322,5.830,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
65,7,93,35.322,28.407,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
66,7,276,35.322,5.094,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
67,7,131,35.322,16.249,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
68,7,356,35.322,22.713,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
69,7,259,35.322,22.953,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
70,7,234,35.322,15.254,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
71,8,248,35.322,23.183,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
72,8,4,35.322,29.931,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
73,8,124,35.322,28.209,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
74,8,135,35.322,7.281,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
75,8,93,35.322,15.240,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
76,8,276,35.322,1.056,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
77,8,131,35.322,3.423,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
78,8,356,35.322,28.693,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
79,8,259,35.322,1.132,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
80,8,234,35.322,23.511,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
81,9,248,35.322,30.794,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
82,9,4,35.322,13.315,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
83,9,124,35.322,25.214,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
84,9,135,35.322,2.723,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
85,9,93,35.322,31.008,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
86,9,276,35.322,10.829,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
87,9,131,35.322,29.436,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
88,9,356,35.322,13.891,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
89,9,259,35.322,4.252,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
90,9,234,35.322,8.916,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
91,10,248,35.322,26.083,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
92,10,4,35.322,3.487,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
93,10,124,35.322,7.250,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
94,10,135,35.322,5.587,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
95,10,93,35.322,27.415,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
96,10,276,35.322,18.766,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
97,10,131,35.322,8.735,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
98,10,356,35.322,3.964,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
99,10,259,35.322,2.158,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
100,10,234,35.322,13.471,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
101,11,248,35.322,23.310,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
102,11,4,35.322,31.675,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
103,11,124,35.322,0.469,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
104,11,135,35.322,19.576,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
105,11,93,35.322,11.119,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
106,11,276,35.322,34.016,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
107,11,131,35.322,33.600,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
108,11,356,35.322,14.052,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
109,11,259,35.322,25.315,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
110,11,234,35.322,6.253,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
111,12,248,35.322,29.686,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
112,12,4,35.322,26.468,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
113,12,124,35.322,21.293,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
114,12,135,35.322,33.078,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
115,12,93,35.322,18.561,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
116,12,276,35.322,18.920,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
117,12,131,35.322,32.181,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
118,12,356,35.322,16.345,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
119,12,259,35.322,1.886,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
120,12,234,35.322,12.374,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
