id_auditoria_sistema,id_usuario_sistema,accion_realizada,tabla_afectada,registro_id,valores_anteriores,valores_nuevos,fecha_hora
30,5,INSERT,productos,1,,"{'"nombre'": '"Leche Entera 1L'", '"precio_venta_actual'": 1.25}",2026-03-29 19:22:27.718562-05
31,5,UPDATE,inventarios,25,"{'"stock_actual'": 50}","{'"stock_actual'": 120}",2026-04-18 19:22:27.718562-05
32,5,INSERT,facturas,100,,"{'"total_pagar'": 45.80, '"numero_factura'": '"FAC-00000100'"}",2026-05-18 19:22:27.718562-05
33,5,INSERT,compras,50,,"{'"total_pagado'": 2500, '"numero_factura_proveedor'": '"FAC-2026-0000050'"}",2026-06-02 19:22:27.718562-05
34,5,UPDATE,clientes,200,"{'"telefono'": '"+593980000000'"}","{'"telefono'": '"+593999999999'"}",2026-06-27 19:22:27.718562-05
35,5,INSERT,tarjetas_fidelizacion,150,,"{'"codigo_tarjeta'": '"DM360-00000150'", '"puntos_acumulados'": 300}",2026-07-07 19:22:27.718562-05
36,6,INSERT,clientes,1,,"{'"nombre_completo'": '"Juan Gomez'", '"correo_electronico'": '"juan.gomez@gmail.com'"}",2026-03-19 19:22:27.718562-05
37,6,INSERT,productos,1,,"{'"nombre'": '"Leche Entera 1L'", '"precio_venta_actual'": 1.25}",2026-03-29 19:22:27.718562-05
38,6,UPDATE,inventarios,25,"{'"stock_actual'": 50}","{'"stock_actual'": 120}",2026-04-18 19:22:27.718562-05
39,6,INSERT,facturas,100,,"{'"total_pagar'": 45.80, '"numero_factura'": '"FAC-00000100'"}",2026-05-18 19:22:27.718562-05
40,6,INSERT,compras,50,,"{'"total_pagado'": 2500, '"numero_factura_proveedor'": '"FAC-2026-0000050'"}",2026-06-02 19:22:27.718562-05
41,6,UPDATE,clientes,200,"{'"telefono'": '"+593980000000'"}","{'"telefono'": '"+593999999999'"}",2026-06-27 19:22:27.718562-05
42,6,INSERT,tarjetas_fidelizacion,150,,"{'"codigo_tarjeta'": '"DM360-00000150'", '"puntos_acumulados'": 300}",2026-07-07 19:22:27.718562-05
43,7,INSERT,clientes,1,,"{'"nombre_completo'": '"Juan Gomez'", '"correo_electronico'": '"juan.gomez@gmail.com'"}",2026-03-19 19:22:27.718562-05
44,7,INSERT,productos,1,,"{'"nombre'": '"Leche Entera 1L'", '"precio_venta_actual'": 1.25}",2026-03-29 19:22:27.718562-05
45,7,UPDATE,inventarios,25,"{'"stock_actual'": 50}","{'"stock_actual'": 120}",2026-04-18 19:22:27.718562-05
46,7,INSERT,facturas,100,,"{'"total_pagar'": 45.80, '"numero_factura'": '"FAC-00000100'"}",2026-05-18 19:22:27.718562-05
47,7,INSERT,compras,50,,"{'"total_pagado'": 2500, '"numero_factura_proveedor'": '"FAC-2026-0000050'"}",2026-06-02 19:22:27.718562-05
48,7,UPDATE,clientes,200,"{'"telefono'": '"+593980000000'"}","{'"telefono'": '"+593999999999'"}",2026-06-27 19:22:27.718562-05
49,7,INSERT,tarjetas_fidelizacion,150,,"{'"codigo_tarjeta'": '"DM360-00000150'", '"puntos_acumulados'": 300}",2026-07-07 19:22:27.718562-05
50,8,INSERT,clientes,1,,"{'"nombre_completo'": '"Juan Gomez'", '"correo_electronico'": '"juan.gomez@gmail.com'"}",2026-03-19 19:22:27.718562-05
51,8,INSERT,productos,1,,"{'"nombre'": '"Leche Entera 1L'", '"precio_venta_actual'": 1.25}",2026-03-29 19:22:27.718562-05
52,8,UPDATE,inventarios,25,"{'"stock_actual'": 50}","{'"stock_actual'": 120}",2026-04-18 19:22:27.718562-05
53,8,INSERT,facturas,100,,"{'"total_pagar'": 45.80, '"numero_factura'": '"FAC-00000100'"}",2026-05-18 19:22:27.718562-05
54,8,INSERT,compras,50,,"{'"total_pagado'": 2500, '"numero_factura_proveedor'": '"FAC-2026-0000050'"}",2026-06-02 19:22:27.718562-05
55,8,UPDATE,clientes,200,"{'"telefono'": '"+593980000000'"}","{'"telefono'": '"+593999999999'"}",2026-06-27 19:22:27.718562-05
56,8,INSERT,tarjetas_fidelizacion,150,,"{'"codigo_tarjeta'": '"DM360-00000150'", '"puntos_acumulados'": 300}",2026-07-07 19:22:27.718562-05
57,9,INSERT,clientes,1,,"{'"nombre_completo'": '"Juan Gomez'", '"correo_electronico'": '"juan.gomez@gmail.com'"}",2026-03-19 19:22:27.718562-05
58,9,INSERT,productos,1,,"{'"nombre'": '"Leche Entera 1L'", '"precio_venta_actual'": 1.25}",2026-03-29 19:22:27.718562-05
59,9,UPDATE,inventarios,25,"{'"stock_actual'": 50}","{'"stock_actual'": 120}",2026-04-18 19:22:27.718562-05
60,9,INSERT,facturas,100,,"{'"total_pagar'": 45.80, '"numero_factura'": '"FAC-00000100'"}",2026-05-18 19:22:27.718562-05
61,9,INSERT,compras,50,,"{'"total_pagado'": 2500, '"numero_factura_proveedor'": '"FAC-2026-0000050'"}",2026-06-02 19:22:27.718562-05
62,9,UPDATE,clientes,200,"{'"telefono'": '"+593980000000'"}","{'"telefono'": '"+593999999999'"}",2026-06-27 19:22:27.718562-05
63,9,INSERT,tarjetas_fidelizacion,150,,"{'"codigo_tarjeta'": '"DM360-00000150'", '"puntos_acumulados'": 300}",2026-07-07 19:22:27.718562-05
64,10,INSERT,clientes,1,,"{'"nombre_completo'": '"Juan Gomez'", '"correo_electronico'": '"juan.gomez@gmail.com'"}",2026-03-19 19:22:27.718562-05
65,10,INSERT,productos,1,,"{'"nombre'": '"Leche Entera 1L'", '"precio_venta_actual'": 1.25}",2026-03-29 19:22:27.718562-05
66,10,UPDATE,inventarios,25,"{'"stock_actual'": 50}","{'"stock_actual'": 120}",2026-04-18 19:22:27.718562-05
67,10,INSERT,facturas,100,,"{'"total_pagar'": 45.80, '"numero_factura'": '"FAC-00000100'"}",2026-05-18 19:22:27.718562-05
68,10,INSERT,compras,50,,"{'"total_pagado'": 2500, '"numero_factura_proveedor'": '"FAC-2026-0000050'"}",2026-06-02 19:22:27.718562-05
69,10,UPDATE,clientes,200,"{'"telefono'": '"+593980000000'"}","{'"telefono'": '"+593999999999'"}",2026-06-27 19:22:27.718562-05
70,10,INSERT,tarjetas_fidelizacion,150,,"{'"codigo_tarjeta'": '"DM360-00000150'", '"puntos_acumulados'": 300}",2026-07-07 19:22:27.718562-05
71,11,INSERT,clientes,1,,"{'"nombre_completo'": '"Juan Gomez'", '"correo_electronico'": '"juan.gomez@gmail.com'"}",2026-03-19 19:22:27.718562-05
72,11,INSERT,productos,1,,"{'"nombre'": '"Leche Entera 1L'", '"precio_venta_actual'": 1.25}",2026-03-29 19:22:27.718562-05
73,11,UPDATE,inventarios,25,"{'"stock_actual'": 50}","{'"stock_actual'": 120}",2026-04-18 19:22:27.718562-05
74,11,INSERT,facturas,100,,"{'"total_pagar'": 45.80, '"numero_factura'": '"FAC-00000100'"}",2026-05-18 19:22:27.718562-05
75,11,INSERT,compras,50,,"{'"total_pagado'": 2500, '"numero_factura_proveedor'": '"FAC-2026-0000050'"}",2026-06-02 19:22:27.718562-05
76,11,UPDATE,clientes,200,"{'"telefono'": '"+593980000000'"}","{'"telefono'": '"+593999999999'"}",2026-06-27 19:22:27.718562-05
77,11,INSERT,tarjetas_fidelizacion,150,,"{'"codigo_tarjeta'": '"DM360-00000150'", '"puntos_acumulados'": 300}",2026-07-07 19:22:27.718562-05
78,12,INSERT,clientes,1,,"{'"nombre_completo'": '"Juan Gomez'", '"correo_electronico'": '"juan.gomez@gmail.com'"}",2026-03-19 19:22:27.718562-05
79,12,INSERT,productos,1,,"{'"nombre'": '"Leche Entera 1L'", '"precio_venta_actual'": 1.25}",2026-03-29 19:22:27.718562-05
80,12,UPDATE,inventarios,25,"{'"stock_actual'": 50}","{'"stock_actual'": 120}",2026-04-18 19:22:27.718562-05
81,12,INSERT,facturas,100,,"{'"total_pagar'": 45.80, '"numero_factura'": '"FAC-00000100'"}",2026-05-18 19:22:27.718562-05
82,12,INSERT,compras,50,,"{'"total_pagado'": 2500, '"numero_factura_proveedor'": '"FAC-2026-0000050'"}",2026-06-02 19:22:27.718562-05
83,12,UPDATE,clientes,200,"{'"telefono'": '"+593980000000'"}","{'"telefono'": '"+593999999999'"}",2026-06-27 19:22:27.718562-05
84,12,INSERT,tarjetas_fidelizacion,150,,"{'"codigo_tarjeta'": '"DM360-00000150'", '"puntos_acumulados'": 300}",2026-07-07 19:22:27.718562-05
85,46,INSERT,clientes,1,,"{'"nombre_completo'": '"Juan Gomez'", '"correo_electronico'": '"juan.gomez@gmail.com'"}",2026-03-19 19:22:27.718562-05
86,46,INSERT,productos,1,,"{'"nombre'": '"Leche Entera 1L'", '"precio_venta_actual'": 1.25}",2026-03-29 19:22:27.718562-05
87,46,UPDATE,inventarios,25,"{'"stock_actual'": 50}","{'"stock_actual'": 120}",2026-04-18 19:22:27.718562-05
88,46,INSERT,facturas,100,,"{'"total_pagar'": 45.80, '"numero_factura'": '"FAC-00000100'"}",2026-05-18 19:22:27.718562-05
89,46,INSERT,compras,50,,"{'"total_pagado'": 2500, '"numero_factura_proveedor'": '"FAC-2026-0000050'"}",2026-06-02 19:22:27.718562-05
90,46,UPDATE,clientes,200,"{'"telefono'": '"+593980000000'"}","{'"telefono'": '"+593999999999'"}",2026-06-27 19:22:27.718562-05
91,46,INSERT,tarjetas_fidelizacion,150,,"{'"codigo_tarjeta'": '"DM360-00000150'", '"puntos_acumulados'": 300}",2026-07-07 19:22:27.718562-05
92,47,INSERT,clientes,1,,"{'"nombre_completo'": '"Juan Gomez'", '"correo_electronico'": '"juan.gomez@gmail.com'"}",2026-03-19 19:22:27.718562-05
93,47,INSERT,productos,1,,"{'"nombre'": '"Leche Entera 1L'", '"precio_venta_actual'": 1.25}",2026-03-29 19:22:27.718562-05
94,47,UPDATE,inventarios,25,"{'"stock_actual'": 50}","{'"stock_actual'": 120}",2026-04-18 19:22:27.718562-05
95,47,INSERT,facturas,100,,"{'"total_pagar'": 45.80, '"numero_factura'": '"FAC-00000100'"}",2026-05-18 19:22:27.718562-05
96,47,INSERT,compras,50,,"{'"total_pagado'": 2500, '"numero_factura_proveedor'": '"FAC-2026-0000050'"}",2026-06-02 19:22:27.718562-05
97,47,UPDATE,clientes,200,"{'"telefono'": '"+593980000000'"}","{'"telefono'": '"+593999999999'"}",2026-06-27 19:22:27.718562-05
98,47,INSERT,tarjetas_fidelizacion,150,,"{'"codigo_tarjeta'": '"DM360-00000150'", '"puntos_acumulados'": 300}",2026-07-07 19:22:27.718562-05
99,48,INSERT,clientes,1,,"{'"nombre_completo'": '"Juan Gomez'", '"correo_electronico'": '"juan.gomez@gmail.com'"}",2026-03-19 19:22:27.718562-05
100,48,INSERT,productos,1,,"{'"nombre'": '"Leche Entera 1L'", '"precio_venta_actual'": 1.25}",2026-03-29 19:22:27.718562-05
101,48,UPDATE,inventarios,25,"{'"stock_actual'": 50}","{'"stock_actual'": 120}",2026-04-18 19:22:27.718562-05
102,48,INSERT,facturas,100,,"{'"total_pagar'": 45.80, '"numero_factura'": '"FAC-00000100'"}",2026-05-18 19:22:27.718562-05
103,48,INSERT,compras,50,,"{'"total_pagado'": 2500, '"numero_factura_proveedor'": '"FAC-2026-0000050'"}",2026-06-02 19:22:27.718562-05
104,48,UPDATE,clientes,200,"{'"telefono'": '"+593980000000'"}","{'"telefono'": '"+593999999999'"}",2026-06-27 19:22:27.718562-05
105,48,INSERT,tarjetas_fidelizacion,150,,"{'"codigo_tarjeta'": '"DM360-00000150'", '"puntos_acumulados'": 300}",2026-07-07 19:22:27.718562-05
106,49,INSERT,clientes,1,,"{'"nombre_completo'": '"Juan Gomez'", '"correo_electronico'": '"juan.gomez@gmail.com'"}",2026-03-19 19:22:27.718562-05
107,49,INSERT,productos,1,,"{'"nombre'": '"Leche Entera 1L'", '"precio_venta_actual'": 1.25}",2026-03-29 19:22:27.718562-05
108,49,UPDATE,inventarios,25,"{'"stock_actual'": 50}","{'"stock_actual'": 120}",2026-04-18 19:22:27.718562-05
109,49,INSERT,facturas,100,,"{'"total_pagar'": 45.80, '"numero_factura'": '"FAC-00000100'"}",2026-05-18 19:22:27.718562-05
110,49,INSERT,compras,50,,"{'"total_pagado'": 2500, '"numero_factura_proveedor'": '"FAC-2026-0000050'"}",2026-06-02 19:22:27.718562-05
111,49,UPDATE,clientes,200,"{'"telefono'": '"+593980000000'"}","{'"telefono'": '"+593999999999'"}",2026-06-27 19:22:27.718562-05
112,49,INSERT,tarjetas_fidelizacion,150,,"{'"codigo_tarjeta'": '"DM360-00000150'", '"puntos_acumulados'": 300}",2026-07-07 19:22:27.718562-05
113,50,INSERT,clientes,1,,"{'"nombre_completo'": '"Juan Gomez'", '"correo_electronico'": '"juan.gomez@gmail.com'"}",2026-03-19 19:22:27.718562-05
114,50,INSERT,productos,1,,"{'"nombre'": '"Leche Entera 1L'", '"precio_venta_actual'": 1.25}",2026-03-29 19:22:27.718562-05
115,50,UPDATE,inventarios,25,"{'"stock_actual'": 50}","{'"stock_actual'": 120}",2026-04-18 19:22:27.718562-05
116,50,INSERT,facturas,100,,"{'"total_pagar'": 45.80, '"numero_factura'": '"FAC-00000100'"}",2026-05-18 19:22:27.718562-05
117,50,INSERT,compras,50,,"{'"total_pagado'": 2500, '"numero_factura_proveedor'": '"FAC-2026-0000050'"}",2026-06-02 19:22:27.718562-05
118,50,UPDATE,clientes,200,"{'"telefono'": '"+593980000000'"}","{'"telefono'": '"+593999999999'"}",2026-06-27 19:22:27.718562-05
119,50,INSERT,tarjetas_fidelizacion,150,,"{'"codigo_tarjeta'": '"DM360-00000150'", '"puntos_acumulados'": 300}",2026-07-07 19:22:27.718562-05
120,51,INSERT,clientes,1,,"{'"nombre_completo'": '"Juan Gomez'", '"correo_electronico'": '"juan.gomez@gmail.com'"}",2026-03-19 19:22:27.718562-05
121,51,INSERT,productos,1,,"{'"nombre'": '"Leche Entera 1L'", '"precio_venta_actual'": 1.25}",2026-03-29 19:22:27.718562-05
122,51,UPDATE,inventarios,25,"{'"stock_actual'": 50}","{'"stock_actual'": 120}",2026-04-18 19:22:27.718562-05
123,51,INSERT,facturas,100,,"{'"total_pagar'": 45.80, '"numero_factura'": '"FAC-00000100'"}",2026-05-18 19:22:27.718562-05
124,51,INSERT,compras,50,,"{'"total_pagado'": 2500, '"numero_factura_proveedor'": '"FAC-2026-0000050'"}",2026-06-02 19:22:27.718562-05
125,51,UPDATE,clientes,200,"{'"telefono'": '"+593980000000'"}","{'"telefono'": '"+593999999999'"}",2026-06-27 19:22:27.718562-05
126,51,INSERT,tarjetas_fidelizacion,150,,"{'"codigo_tarjeta'": '"DM360-00000150'", '"puntos_acumulados'": 300}",2026-07-07 19:22:27.718562-05
127,52,INSERT,clientes,1,,"{'"nombre_completo'": '"Juan Gomez'", '"correo_electronico'": '"juan.gomez@gmail.com'"}",2026-03-19 19:22:27.718562-05
128,52,INSERT,productos,1,,"{'"nombre'": '"Leche Entera 1L'", '"precio_venta_actual'": 1.25}",2026-03-29 19:22:27.718562-05
129,52,UPDATE,inventarios,25,"{'"stock_actual'": 50}","{'"stock_actual'": 120}",2026-04-18 19:22:27.718562-05
130,52,INSERT,facturas,100,,"{'"total_pagar'": 45.80, '"numero_factura'": '"FAC-00000100'"}",2026-05-18 19:22:27.718562-05
131,52,INSERT,compras,50,,"{'"total_pagado'": 2500, '"numero_factura_proveedor'": '"FAC-2026-0000050'"}",2026-06-02 19:22:27.718562-05
132,52,UPDATE,clientes,200,"{'"telefono'": '"+593980000000'"}","{'"telefono'": '"+593999999999'"}",2026-06-27 19:22:27.718562-05
133,52,INSERT,tarjetas_fidelizacion,150,,"{'"codigo_tarjeta'": '"DM360-00000150'", '"puntos_acumulados'": 300}",2026-07-07 19:22:27.718562-05
134,53,INSERT,clientes,1,,"{'"nombre_completo'": '"Juan Gomez'", '"correo_electronico'": '"juan.gomez@gmail.com'"}",2026-03-19 19:22:27.718562-05
135,53,INSERT,productos,1,,"{'"nombre'": '"Leche Entera 1L'", '"precio_venta_actual'": 1.25}",2026-03-29 19:22:27.718562-05
136,53,UPDATE,inventarios,25,"{'"stock_actual'": 50}","{'"stock_actual'": 120}",2026-04-18 19:22:27.718562-05
137,53,INSERT,facturas,100,,"{'"total_pagar'": 45.80, '"numero_factura'": '"FAC-00000100'"}",2026-05-18 19:22:27.718562-05
138,53,INSERT,compras,50,,"{'"total_pagado'": 2500, '"numero_factura_proveedor'": '"FAC-2026-0000050'"}",2026-06-02 19:22:27.718562-05
139,53,UPDATE,clientes,200,"{'"telefono'": '"+593980000000'"}","{'"telefono'": '"+593999999999'"}",2026-06-27 19:22:27.718562-05
140,53,INSERT,tarjetas_fidelizacion,150,,"{'"codigo_tarjeta'": '"DM360-00000150'", '"puntos_acumulados'": 300}",2026-07-07 19:22:27.718562-05
141,54,INSERT,clientes,1,,"{'"nombre_completo'": '"Juan Gomez'", '"correo_electronico'": '"juan.gomez@gmail.com'"}",2026-03-19 19:22:27.718562-05
142,54,INSERT,productos,1,,"{'"nombre'": '"Leche Entera 1L'", '"precio_venta_actual'": 1.25}",2026-03-29 19:22:27.718562-05
143,54,UPDATE,inventarios,25,"{'"stock_actual'": 50}","{'"stock_actual'": 120}",2026-04-18 19:22:27.718562-05
144,54,INSERT,facturas,100,,"{'"total_pagar'": 45.80, '"numero_factura'": '"FAC-00000100'"}",2026-05-18 19:22:27.718562-05
145,54,INSERT,compras,50,,"{'"total_pagado'": 2500, '"numero_factura_proveedor'": '"FAC-2026-0000050'"}",2026-06-02 19:22:27.718562-05
146,54,UPDATE,clientes,200,"{'"telefono'": '"+593980000000'"}","{'"telefono'": '"+593999999999'"}",2026-06-27 19:22:27.718562-05
147,54,INSERT,tarjetas_fidelizacion,150,,"{'"codigo_tarjeta'": '"DM360-00000150'", '"puntos_acumulados'": 300}",2026-07-07 19:22:27.718562-05
148,55,INSERT,clientes,1,,"{'"nombre_completo'": '"Juan Gomez'", '"correo_electronico'": '"juan.gomez@gmail.com'"}",2026-03-19 19:22:27.718562-05
149,55,INSERT,productos,1,,"{'"nombre'": '"Leche Entera 1L'", '"precio_venta_actual'": 1.25}",2026-03-29 19:22:27.718562-05
150,55,UPDATE,inventarios,25,"{'"stock_actual'": 50}","{'"stock_actual'": 120}",2026-04-18 19:22:27.718562-05
151,55,INSERT,facturas,100,,"{'"total_pagar'": 45.80, '"numero_factura'": '"FAC-00000100'"}",2026-05-18 19:22:27.718562-05
152,55,INSERT,compras,50,,"{'"total_pagado'": 2500, '"numero_factura_proveedor'": '"FAC-2026-0000050'"}",2026-06-02 19:22:27.718562-05
153,55,UPDATE,clientes,200,"{'"telefono'": '"+593980000000'"}","{'"telefono'": '"+593999999999'"}",2026-06-27 19:22:27.718562-05
154,55,INSERT,tarjetas_fidelizacion,150,,"{'"codigo_tarjeta'": '"DM360-00000150'", '"puntos_acumulados'": 300}",2026-07-07 19:22:27.718562-05
155,56,INSERT,clientes,1,,"{'"nombre_completo'": '"Juan Gomez'", '"correo_electronico'": '"juan.gomez@gmail.com'"}",2026-03-19 19:22:27.718562-05
156,56,INSERT,productos,1,,"{'"nombre'": '"Leche Entera 1L'", '"precio_venta_actual'": 1.25}",2026-03-29 19:22:27.718562-05
157,56,UPDATE,inventarios,25,"{'"stock_actual'": 50}","{'"stock_actual'": 120}",2026-04-18 19:22:27.718562-05
158,56,INSERT,facturas,100,,"{'"total_pagar'": 45.80, '"numero_factura'": '"FAC-00000100'"}",2026-05-18 19:22:27.718562-05
159,56,INSERT,compras,50,,"{'"total_pagado'": 2500, '"numero_factura_proveedor'": '"FAC-2026-0000050'"}",2026-06-02 19:22:27.718562-05
160,56,UPDATE,clientes,200,"{'"telefono'": '"+593980000000'"}","{'"telefono'": '"+593999999999'"}",2026-06-27 19:22:27.718562-05
161,56,INSERT,tarjetas_fidelizacion,150,,"{'"codigo_tarjeta'": '"DM360-00000150'", '"puntos_acumulados'": 300}",2026-07-07 19:22:27.718562-05
162,57,INSERT,clientes,1,,"{'"nombre_completo'": '"Juan Gomez'", '"correo_electronico'": '"juan.gomez@gmail.com'"}",2026-03-19 19:22:27.718562-05
163,57,INSERT,productos,1,,"{'"nombre'": '"Leche Entera 1L'", '"precio_venta_actual'": 1.25}",2026-03-29 19:22:27.718562-05
164,57,UPDATE,inventarios,25,"{'"stock_actual'": 50}","{'"stock_actual'": 120}",2026-04-18 19:22:27.718562-05
165,57,INSERT,facturas,100,,"{'"total_pagar'": 45.80, '"numero_factura'": '"FAC-00000100'"}",2026-05-18 19:22:27.718562-05
166,57,INSERT,compras,50,,"{'"total_pagado'": 2500, '"numero_factura_proveedor'": '"FAC-2026-0000050'"}",2026-06-02 19:22:27.718562-05
167,57,UPDATE,clientes,200,"{'"telefono'": '"+593980000000'"}","{'"telefono'": '"+593999999999'"}",2026-06-27 19:22:27.718562-05
168,57,INSERT,tarjetas_fidelizacion,150,,"{'"codigo_tarjeta'": '"DM360-00000150'", '"puntos_acumulados'": 300}",2026-07-07 19:22:27.718562-05
169,58,INSERT,clientes,1,,"{'"nombre_completo'": '"Juan Gomez'", '"correo_electronico'": '"juan.gomez@gmail.com'"}",2026-03-19 19:22:27.718562-05
170,58,INSERT,productos,1,,"{'"nombre'": '"Leche Entera 1L'", '"precio_venta_actual'": 1.25}",2026-03-29 19:22:27.718562-05
171,58,UPDATE,inventarios,25,"{'"stock_actual'": 50}","{'"stock_actual'": 120}",2026-04-18 19:22:27.718562-05
172,58,INSERT,facturas,100,,"{'"total_pagar'": 45.80, '"numero_factura'": '"FAC-00000100'"}",2026-05-18 19:22:27.718562-05
173,58,INSERT,compras,50,,"{'"total_pagado'": 2500, '"numero_factura_proveedor'": '"FAC-2026-0000050'"}",2026-06-02 19:22:27.718562-05
174,58,UPDATE,clientes,200,"{'"telefono'": '"+593980000000'"}","{'"telefono'": '"+593999999999'"}",2026-06-27 19:22:27.718562-05
175,58,INSERT,tarjetas_fidelizacion,150,,"{'"codigo_tarjeta'": '"DM360-00000150'", '"puntos_acumulados'": 300}",2026-07-07 19:22:27.718562-05
176,59,INSERT,clientes,1,,"{'"nombre_completo'": '"Juan Gomez'", '"correo_electronico'": '"juan.gomez@gmail.com'"}",2026-03-19 19:22:27.718562-05
177,59,INSERT,productos,1,,"{'"nombre'": '"Leche Entera 1L'", '"precio_venta_actual'": 1.25}",2026-03-29 19:22:27.718562-05
178,59,UPDATE,inventarios,25,"{'"stock_actual'": 50}","{'"stock_actual'": 120}",2026-04-18 19:22:27.718562-05
179,59,INSERT,facturas,100,,"{'"total_pagar'": 45.80, '"numero_factura'": '"FAC-00000100'"}",2026-05-18 19:22:27.718562-05
180,59,INSERT,compras,50,,"{'"total_pagado'": 2500, '"numero_factura_proveedor'": '"FAC-2026-0000050'"}",2026-06-02 19:22:27.718562-05
181,59,UPDATE,clientes,200,"{'"telefono'": '"+593980000000'"}","{'"telefono'": '"+593999999999'"}",2026-06-27 19:22:27.718562-05
182,59,INSERT,tarjetas_fidelizacion,150,,"{'"codigo_tarjeta'": '"DM360-00000150'", '"puntos_acumulados'": 300}",2026-07-07 19:22:27.718562-05
183,60,INSERT,clientes,1,,"{'"nombre_completo'": '"Juan Gomez'", '"correo_electronico'": '"juan.gomez@gmail.com'"}",2026-03-19 19:22:27.718562-05
