id_compra,id_proveedor,id_sucursal,numero_factura_proveedor,fecha_compra,subtotal,impuesto,total_pagado,creado_en,modificado_en,creado_por,modificado_por
2,45,3,FAC-PROV-2026-00000002,2025-07-17 00:07:51.777675-05,2050.98,307.65,2358.63,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
699,45,3,FAC-PROV-2026-00000699,2024-08-23 18:05:18.53676-05,1786.51,267.98,2054.49,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1975,45,3,FAC-PROV-2026-00001975,2026-01-22 13:54:45.871265-05,2699.05,404.86,3103.91,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1936,45,3,FAC-PROV-2026-00001936,2025-09-12 13:16:47.810704-05,875.05,131.26,1006.31,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1603,45,3,FAC-PROV-2026-00001603,2025-02-11 04:27:36.635175-05,2103.03,315.45,2418.49,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
246,45,3,FAC-PROV-2026-00000246,2025-03-18 04:49:39.980019-05,3131.77,469.77,3601.54,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
75,45,3,FAC-PROV-2026-00000075,2024-10-11 06:03:32.167374-05,2258.25,338.74,2596.99,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
128,45,3,FAC-PROV-2026-00000128,2026-03-20 07:45:57.426935-05,2562.10,384.31,2946.41,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1942,45,3,FAC-PROV-2026-00001942,2025-05-28 18:41:38.621177-05,1413.16,211.97,1625.13,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1992,45,3,FAC-PROV-2026-00001992,2024-01-06 07:49:16.442606-05,1326.74,199.01,1525.75,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
344,45,3,FAC-PROV-2026-00000344,2025-11-05 14:42:30.100851-05,2361.66,354.25,2715.91,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1078,45,3,FAC-PROV-2026-00001078,2025-07-27 02:35:11.322615-05,2350.88,352.63,2703.51,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
534,45,3,FAC-PROV-2026-00000534,2024-07-22 07:38:13.186194-05,2863.41,429.51,3292.93,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1522,45,3,FAC-PROV-2026-00001522,2024-01-21 23:20:13.554247-05,2730.39,409.56,3139.95,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1967,45,3,FAC-PROV-2026-00001967,2025-12-07 10:02:05.576396-05,903.80,135.57,1039.37,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
637,45,3,FAC-PROV-2026-00000637,2024-12-15 07:18:43.310242-05,1165.24,174.79,1340.02,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
355,45,3,FAC-PROV-2026-00000355,2026-06-22 17:27:41.019702-05,1345.72,201.86,1547.57,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1279,45,3,FAC-PROV-2026-00001279,2025-01-20 14:50:13.568362-05,1901.53,285.23,2186.76,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1403,45,3,FAC-PROV-2026-00001403,2024-02-24 23:17:31.69841-05,1406.89,211.03,1617.93,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
222,45,3,FAC-PROV-2026-00000222,2026-01-30 20:56:13.737823-05,1545.42,231.81,1777.23,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1006,45,3,FAC-PROV-2026-00001006,2025-06-04 07:50:42.10516-05,1639.59,245.94,1885.53,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
922,45,3,FAC-PROV-2026-00000922,2026-04-02 02:11:38.493185-05,2707.13,406.07,3113.20,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
453,45,3,FAC-PROV-2026-00000453,2024-05-14 22:30:20.385283-05,1378.32,206.75,1585.07,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
787,45,3,FAC-PROV-2026-00000787,2024-06-11 22:07:32.681448-05,863.82,129.57,993.39,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
182,45,3,FAC-PROV-2026-00000182,2026-01-13 14:16:17.537157-05,2167.90,325.19,2493.09,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1950,45,3,FAC-PROV-2026-00001950,2024-01-01 17:36:32.198709-05,2022.25,303.34,2325.59,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
528,45,3,FAC-PROV-2026-00000528,2025-06-05 00:51:11.819568-05,2397.41,359.61,2757.03,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1549,45,3,FAC-PROV-2026-00001549,2026-05-23 04:17:31.470627-05,2304.97,345.74,2650.71,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
811,45,3,FAC-PROV-2026-00000811,2025-02-22 12:47:33.252365-05,770.03,115.50,885.54,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
563,45,3,FAC-PROV-2026-00000563,2024-09-12 19:35:22.897812-05,1572.29,235.84,1808.13,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1474,45,3,FAC-PROV-2026-00001474,2024-10-16 15:31:34.110307-05,1584.51,237.68,1822.19,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1616,45,3,FAC-PROV-2026-00001616,2024-11-12 17:00:59.819431-05,1427.02,214.05,1641.07,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1613,45,3,FAC-PROV-2026-00001613,2026-03-29 03:10:16.312116-05,2031.17,304.67,2335.84,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
667,45,3,FAC-PROV-2026-00000667,2025-08-29 08:09:25.750771-05,2188.23,328.23,2516.47,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
481,45,3,FAC-PROV-2026-00000481,2024-06-10 04:45:18.89066-05,1845.97,276.90,2122.87,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1828,45,3,FAC-PROV-2026-00001828,2024-10-27 04:26:50.024541-05,2826.27,423.94,3250.21,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1779,45,3,FAC-PROV-2026-00001779,2025-03-05 07:38:34.201165-05,1398.92,209.84,1608.75,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1804,45,3,FAC-PROV-2026-00001804,2024-01-02 21:50:03.438317-05,2322.05,348.31,2670.36,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
438,45,3,FAC-PROV-2026-00000438,2025-12-30 09:55:55.656745-05,1204.59,180.69,1385.27,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
382,45,3,FAC-PROV-2026-00000382,2025-04-27 20:58:33.674144-05,760.00,114.00,874.00,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
853,45,3,FAC-PROV-2026-00000853,2024-07-22 11:32:40.93739-05,2328.91,349.34,2678.25,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
378,45,3,FAC-PROV-2026-00000378,2024-05-25 14:31:07.799357-05,965.17,144.77,1109.94,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1349,45,3,FAC-PROV-2026-00001349,2025-01-07 14:49:12.476517-05,1634.44,245.17,1879.60,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1050,45,3,FAC-PROV-2026-00001050,2024-07-15 23:45:59.209494-05,2554.93,383.24,2938.17,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1788,45,3,FAC-PROV-2026-00001788,2024-11-20 17:56:03.958489-05,1312.30,196.84,1509.14,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
799,45,3,FAC-PROV-2026-00000799,2026-05-23 21:41:43.546321-05,2400.20,360.03,2760.23,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
276,45,3,FAC-PROV-2026-00000276,2024-04-20 06:45:59.564327-05,1975.58,296.34,2271.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1523,45,3,FAC-PROV-2026-00001523,2024-01-24 00:55:21.152042-05,1600.60,240.09,1840.69,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1044,45,3,FAC-PROV-2026-00001044,2024-09-15 01:34:47.339465-05,614.34,92.15,706.49,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
97,45,3,FAC-PROV-2026-00000097,2026-04-11 15:48:01.2031-05,3208.33,481.25,3689.59,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1823,45,3,FAC-PROV-2026-00001823,2024-06-21 16:12:17.171159-05,770.28,115.54,885.82,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1848,45,3,FAC-PROV-2026-00001848,2024-05-06 12:37:54.172305-05,1363.28,204.49,1567.77,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
589,45,3,FAC-PROV-2026-00000589,2024-12-18 14:26:29.096959-05,2832.31,424.85,3257.16,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1167,45,3,FAC-PROV-2026-00001167,2024-01-03 02:30:09.899064-05,2483.95,372.59,2856.55,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
555,45,3,FAC-PROV-2026-00000555,2024-09-12 19:20:34.118912-05,1910.14,286.52,2196.66,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1583,45,3,FAC-PROV-2026-00001583,2024-04-23 19:24:51.476088-05,2095.46,314.32,2409.78,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
