id_proveedor,identificacion_fiscal,razon_social,nombre_contacto,telefono,correo,direccion,activo,creado_en,modificado_en,creado_por,modificado_por
12,0990021317001,SOCIEDAD INDUSTRIAL GANADERA EL ORDEÑO S.A.,Patricia Ortiz,023947800,contacto@elordeno.com.ec,"Av. Amazonas N21-147 y Roca, Quito",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
13,0190011425001,PASTEURIZADORA QUITO S.A.,Fernando Rosero,022652100,abasto@pquito.com.ec,"Av. Maldonado S34-110, Sector Guajaló, Quito",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
14,1790456123001,PULPA DE FRUTAS ECUATORIANAS FRUTAL S.A.,Ana Belén Ruiz,022415120,compras@frutal.com,"Panamericana Norte Km 11.5, Carapungo, Quito",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
15,0992314567001,CONSERVAS ISABEL ECUADOR S.A.,Manuel Delgado,052621450,isabel@isabel.com.ec,"Vía Rocafuerte Km 4.5, Manta",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
16,1391746251001,TEALDO & CO. S.A. (FACUNDO),Ricardo Falconí,042512100,proveedores@facundo.com.ec,"Av. Juan Tanca Marengo Km 4.5, Guayaquil",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
17,1791245789001,ILLESCASEM SEMILLAS Y CEREALES,Mónica Illescas,072834510,ventas@illescasem.com,"Av. de las Américas y Primero de Mayo, Cuenca",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
18,0190001247001,CONSORCIO ALIMENTICIO CUENCANO CONALCA S.A.,Esteban Jara,074135200,contacto@conalca.com,"Parque Industrial, Calle de la Plata, Cuenca",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
19,0991345678001,IMPORTADORA EL ROSADO S.A. (PROVEEDOR),Christian Gómez,042564000,compras@elrosado.com,"Av. 9 de Octubre y Boyacá, Guayaquil",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
20,1790076543001,JARRIN HERRERA & ASOCIADOS (CAFÉ MINERVA),Valeria Jarrín,022401800,minerva@minerva.com.ec,"Av. Galo Plaza Lasso N66-11 y De los Eucaliptos, Quito",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
21,1790035412001,KIMBERLY-CLARK ECUADOR S.A.,Diana Larrea,023992500,ventas.kcc@kcc.com,"Av. República del Salvador N35-82, Quito",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
22,0990087452001,PROCTER & GAMBLE ECUADOR P&G,Javier Mendoza,042598800,pg.proveedores@pg.com,"Av. Joaquín Orrantia, Edificio Trade Building, Guayaquil",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
23,1791823456001,JABONERIA NACIONAL S.A.,Raúl Espín,042800300,compras@jaboneria.com.ec,"Vía a Daule Km 5.5, Guayaquil",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
24,1790021432001,RECKITT BENCKISER ECUADOR S.A.,Katherine Vaca,022987100,reckitt@reckitt.com.ec,"Av. 12 de Octubre N24-528 y Lincoln, Quito",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
25,0991212456001,LACOSMETICA S.A. (PRODUCTOS DE BELLEZA),Sofía Montenegro,042883344,smontenegro@lacosmetica.ec,"Parque Industrial Sauces, Guayaquil",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
26,1792345123001,QUIMICA SUIZA INDUSTRIAL (QSI) ECUADOR S.A.,Roberto Ortiz,023961900,qsi@qsi.com.ec,"Av. De los Eucaliptos N3-14 y Av. Galo Plaza, Quito",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
27,0992384756001,DISTRIBUIDORA DEL PACIFICO DIPAC S.A.,Silvia Carrión,042204560,contacto@dipac.com,"Av. Juan Tanca Marengo y Rodrigo de Chávez, Guayaquil",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
28,1891726354001,PRODU QUIMICOS Ambato S.A.,Guillermo Zurita,032410220,ventas@produquimicos.com,"Av. Víctor Hugo y Los Chasquis, Ambato",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
29,0691723541001,QUIMICOS DEL CENTRO QUIMICEN C.A.,Martha Guamán,032960410,mguaman@quimicen.ec,"Av. Unidad Nacional y Carabobo, Riobamba",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
30,0591243152001,INDUSTRIAS QUIMICAS COTOPAXI IQC,Gonzalo Jácome,032801452,gjacome@iqc.com.ec,"Sector Industrial San Felipe, Latacunga",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
31,1790014523001,PLASTICOS ECUATORIANOS S.A.,Felipe Cordero,042251400,ventas@plasticosecuatorianos.com,"Km 4.5 Vía a Daule, Guayaquil",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
32,0990054123001,PRODUCTOS FAMILIA SANCELA DEL ECUADOR S.A.,Elena Cevallos,023996200,abastecimiento@familia.com.ec,"Av. 6 de Diciembre y Whymper, Quito",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
33,1791238475001,PAPELERA NACIONAL S.A.,Alejandro Cárdenas,042597300,compras@panasa.com.ec,"Vía a Daule Km 26, Nobol",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
34,1792451368001,DISTRIBUIDORA DILIPA S.A.,Paulina Freire,022806200,contacto@dilipa.com.ec,"Av. de la Prensa N56-110 y Zamora, Quito",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
35,1790412536001,FIBRASEG S.A. (PRODUCTOS DE PAPEL),Daniela Noboa,022690321,ventas@fibraseg.com,"Panamericana Sur Km 14.5, Cutuglahua",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
36,0991245781001,PLASTIGLAS S.A.,Arturo Noboa,042801900,compras@plastiglas.com.ec,"Km 8.5 Vía a Daule, Guayaquil",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
37,0190035124001,CARTOPEL - CARTONES NACIONALES S.A.,Santiago Muñoz,072862300,contacto@cartopel.com,"Av. de las Américas y Huayna Cápac, Cuenca",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
38,1790041285001,BOREALIS S.A. (UTENSILIOS Y PLASTICOS),Carla Espinoza,022451360,cespinoza@borealis.ec,"Av. 10 de Agosto N45-12 y El Inca, Quito",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
39,1891245782001,PLASTIPAK ECUADOR S.A.,René Sánchez,032845120,ventas@plastipak.com.ec,"Av. Indoamérica Km 4, Ambato",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
40,0591247851001,DISTRIBUIDORA TOBAR PAPELERIA,Mauricio Tobar,032812400,mtobar@tobar.ec,"Calle Belisario Quevedo y Guayaquil, Latacunga",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
41,1791723548001,ALMACENES JUAN ELJURI C.A.,Juan Pablo Eljuri,072862111,compras@eljuri.com,"Av. Gil Ramírez Dávalos 1-102, Cuenca",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
42,1790054129001,SAMSUNG ELECTRONICS ECUADOR S.A.,Eduardo Castro,023945000,e.castro@samsung.com,"Av. 12 de Octubre y Patria, Edif. Plaza Sole, Quito",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
43,0992345128001,SONY ECUADOR S.A.,Verónica Santos,042634100,vsantos@sony.com.ec,"Centro Comercial Mall del Sol, Guayaquil",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
44,1792415263001,COMPUEQUIP DOS MIL C.A.,Cristian Ramos,022269100,cramos@compuequip.com.ec,"Av. Eloy Alfaro N34-151 y Portugal, Quito",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
45,1791854632001,INTCOMEX DEL ECUADOR S.A.,Mireya Cadena,023963400,mcadena@intcomex.com,"Av. Galo Plaza Lasso N52-12 y Manuel Espinoza, Quito",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
46,0991425368001,MABE DEL ECUADOR S.A.,Héctor Delgado,042885400,hdelgado@mabe.com.ec,"Km 14.5 Vía a la Costa, Guayaquil",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
47,1791245124001,SONELCO S.A. (MATERIALES ELECTRICOS),Xavier Endara,022564100,xendara@sonelco.com.ec,"Calle Esmeraldas 412 y Rondón, Quito",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
48,1792345129001,ALIMENTOS BALNCEADOS ABA S.A. (K-NINA / GATI),Luis Bastidas,022375120,compras@aba.com.ec,"Km 1.5 Vía Sangolquí-Amaguaña, Sangolquí",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
49,0992451236001,PROVEEDORA INFANTIL BABYCENTER C.A.,Gabriela Chiriboga,042398410,gchiriboga@babycenter.ec,"Av. Joaquín Orrantia, Sector Plaza del Sol, Guayaquil",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
50,1790081245001,CONGELADOS DEL PACIFICO CONGELPAC S.A.,Arturo Viteri,052622540,contacto@congelpac.com.ec,"Puerto Pesquero Artesanal, San Mateo, Manta",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
