id_factura,numero_factura,fecha_emision,id_cliente,id_metodo_pago,id_sucursal,subtotal_neto,total_descuento,total_impuesto,total_pagar,creado_en,modificado_en,creado_por,modificado_por
34,FAC-00000034,2024-08-31 17:59:57.30248-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
35,FAC-00000035,2024-10-25 22:05:31.542956-05,392,2,7,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
36,FAC-00000036,2024-09-30 09:01:27.720602-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
37,FAC-00000037,2024-05-03 06:57:05.568819-05,392,2,7,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
38,FAC-00000038,2026-05-10 05:49:50.688667-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
39,FAC-00000039,2026-07-09 03:05:04.08372-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
40,FAC-00000040,2024-07-31 02:57:59.940837-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
41,FAC-00000041,2026-03-07 12:10:28.219458-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
42,FAC-00000042,2024-04-11 13:54:23.887429-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
43,FAC-00000043,2025-11-01 17:26:47.09361-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
44,FAC-00000044,2025-01-05 10:33:37.202159-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
45,FAC-00000045,2024-12-18 05:08:56.771222-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
46,FAC-00000046,2026-06-01 09:18:17.035281-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
47,FAC-00000047,2025-04-02 09:00:04.169121-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
48,FAC-00000048,2025-11-28 07:43:50.367021-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
49,FAC-00000049,2024-04-12 13:18:18.716042-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
50,FAC-00000050,2026-04-18 18:31:48.99814-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
51,FAC-00000051,2024-10-10 13:07:44.468508-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
52,FAC-00000052,2024-05-27 17:06:25.874448-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
53,FAC-00000053,2024-07-15 04:12:25.111465-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
54,FAC-00000054,2024-05-09 15:32:30.48721-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
55,FAC-00000055,2025-05-22 13:24:55.318639-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
56,FAC-00000056,2025-12-15 06:58:12.409289-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
57,FAC-00000057,2024-01-15 05:31:18.566888-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
58,FAC-00000058,2024-06-17 19:37:21.093617-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
59,FAC-00000059,2025-02-16 14:16:49.682432-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
60,FAC-00000060,2025-08-22 01:19:16.820976-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
61,FAC-00000061,2026-03-28 23:01:11.299339-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
62,FAC-00000062,2026-05-28 19:12:07.98229-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
63,FAC-00000063,2025-04-23 16:24:56.978355-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
64,FAC-00000064,2026-07-02 11:02:32.851091-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
65,FAC-00000065,2025-05-05 23:58:58.036067-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
66,FAC-00000066,2024-02-08 20:26:38.110333-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
67,FAC-00000067,2025-10-26 02:53:02.067797-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
68,FAC-00000068,2026-06-12 21:44:43.386441-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
69,FAC-00000069,2026-05-18 15:00:57.175936-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
70,FAC-00000070,2025-01-01 03:59:37.847469-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
71,FAC-00000071,2024-07-26 09:26:05.469738-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
72,FAC-00000072,2024-04-19 01:48:47.808657-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
73,FAC-00000073,2024-02-03 05:42:50.3222-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
74,FAC-00000074,2026-03-27 02:21:56.029495-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
75,FAC-00000075,2025-06-11 04:08:16.002973-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
76,FAC-00000076,2025-12-16 19:03:35.806456-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
77,FAC-00000077,2024-03-02 16:40:48.341431-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
78,FAC-00000078,2025-03-29 04:22:11.554618-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
79,FAC-00000079,2026-05-13 11:15:43.121451-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
80,FAC-00000080,2025-07-19 06:01:12.535725-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
81,FAC-00000081,2025-05-24 02:14:08.111091-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
82,FAC-00000082,2024-11-25 18:15:03.230665-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
83,FAC-00000083,2025-04-17 18:34:48.853534-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
84,FAC-00000084,2024-06-20 07:55:19.540286-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
85,FAC-00000085,2025-03-14 23:29:33.330928-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
86,FAC-00000086,2024-01-14 01:23:23.706168-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
87,FAC-00000087,2025-06-22 20:34:35.202311-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
88,FAC-00000088,2024-07-12 23:27:56.015441-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
89,FAC-00000089,2024-01-13 09:43:35.755455-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
90,FAC-00000090,2026-02-20 14:05:56.839224-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
91,FAC-00000091,2024-11-12 11:06:49.037501-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
92,FAC-00000092,2026-07-04 08:52:46.673449-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
93,FAC-00000093,2024-12-30 05:23:20.99232-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
94,FAC-00000094,2024-02-10 20:14:32.769188-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
95,FAC-00000095,2025-03-24 14:26:58.503077-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
96,FAC-00000096,2026-01-09 09:48:36.75746-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
97,FAC-00000097,2024-01-27 22:27:49.470429-05,392,2,1,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
98,FAC-00000098,2025-11-06 03:00:05.770726-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
99,FAC-00000099,2025-06-08 19:12:26.12593-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
100,FAC-00000100,2026-05-25 08:57:05.365818-05,392,2,1,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
101,FAC-00000101,2026-05-29 12:49:42.275943-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
102,FAC-00000102,2024-04-17 13:10:26.945827-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
103,FAC-00000103,2026-03-16 20:52:23.245618-05,392,2,1,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
104,FAC-00000104,2024-03-24 04:31:04.756325-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
105,FAC-00000105,2024-04-07 11:48:08.98792-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
106,FAC-00000106,2026-06-20 06:48:56.582485-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
107,FAC-00000107,2026-03-19 03:56:16.902031-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
108,FAC-00000108,2026-05-31 00:20:14.438801-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
109,FAC-00000109,2024-09-10 06:53:45.810462-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
110,FAC-00000110,2024-08-27 03:52:49.576482-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
111,FAC-00000111,2025-04-09 22:26:35.112164-05,392,2,1,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
112,FAC-00000112,2024-01-04 04:52:21.664871-05,392,2,6,39.01,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
113,FAC-00000113,2025-01-14 20:05:09.294411-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
114,FAC-00000114,2025-01-07 14:08:49.363225-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
115,FAC-00000115,2025-11-05 10:36:02.173572-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
116,FAC-00000116,2025-05-13 13:18:49.982506-05,392,2,1,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
117,FAC-00000117,2026-03-26 15:02:36.573859-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
118,FAC-00000118,2025-12-13 12:02:49.03837-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
119,FAC-00000119,2024-11-05 03:08:23.407045-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
120,FAC-00000120,2025-02-09 01:46:38.753249-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
121,FAC-00000121,2025-04-25 09:10:18.623265-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
122,FAC-00000122,2024-08-05 10:07:56.794899-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
123,FAC-00000123,2025-05-27 09:42:50.060486-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
124,FAC-00000124,2024-03-12 14:51:10.983452-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
125,FAC-00000125,2024-02-06 08:56:28.016272-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
126,FAC-00000126,2024-10-19 00:21:31.323767-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
127,FAC-00000127,2024-08-10 14:23:40.227651-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
128,FAC-00000128,2024-11-19 08:29:20.923953-05,392,2,3,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
129,FAC-00000129,2026-04-27 19:33:06.219621-05,392,2,3,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
130,FAC-00000130,2025-12-09 18:23:30.146886-05,392,2,3,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
131,FAC-00000131,2025-06-02 02:13:51.228643-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
132,FAC-00000132,2024-01-29 12:06:41.269021-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
133,FAC-00000133,2025-04-18 17:55:37.592509-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
134,FAC-00000134,2026-01-04 18:51:01.48451-05,392,2,3,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
135,FAC-00000135,2026-04-28 13:01:50.209379-05,392,2,3,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
136,FAC-00000136,2024-04-11 11:42:28.783871-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
137,FAC-00000137,2026-02-02 03:35:00.177098-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
138,FAC-00000138,2024-06-07 11:58:07.624824-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
139,FAC-00000139,2026-02-05 01:27:50.911875-05,392,2,3,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
140,FAC-00000140,2025-03-04 20:07:32.234146-05,392,2,3,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
141,FAC-00000141,2026-07-15 08:32:12.646414-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
142,FAC-00000142,2025-03-22 20:15:19.746456-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
143,FAC-00000143,2025-08-24 18:55:15.058856-05,392,2,10,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
144,FAC-00000144,2024-01-31 13:08:59.570103-05,392,2,10,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
145,FAC-00000145,2026-06-07 22:44:12.386111-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
146,FAC-00000146,2024-11-04 09:51:55.229638-05,392,2,10,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
147,FAC-00000147,2025-06-06 01:14:54.494762-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
148,FAC-00000148,2026-01-30 06:03:14.561084-05,392,2,12,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
149,FAC-00000149,2025-12-20 16:38:17.246052-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
150,FAC-00000150,2024-08-30 05:07:32.944881-05,392,2,12,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
151,FAC-00000151,2025-09-27 17:14:14.162399-05,392,2,12,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
152,FAC-00000152,2026-03-24 20:14:08.293698-05,392,2,12,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
153,FAC-00000153,2025-01-24 12:48:55.379924-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
