id_producto_promocion,id_producto,id_promocion,activo,creado_en,modificado_en,creado_por,modificado_por
75,91,2,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
76,91,4,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
77,91,6,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
78,92,2,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
79,92,4,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
80,92,5,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
81,95,1,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
82,95,3,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
83,96,2,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
84,96,4,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
85,96,5,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
86,96,6,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
87,99,4,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
88,99,6,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
89,100,6,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
90,101,4,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
91,102,4,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
92,103,6,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
93,104,2,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
94,104,5,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
95,106,5,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
96,107,1,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
97,108,1,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
98,108,5,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
99,109,1,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
100,110,1,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
101,111,5,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
102,113,1,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
103,113,4,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
104,114,3,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
105,115,6,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
106,117,2,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
107,119,3,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
108,119,4,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
109,119,5,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
110,120,5,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
111,121,4,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
112,124,2,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
113,125,2,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
114,125,5,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
115,126,4,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
116,127,2,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
117,129,1,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
118,130,6,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
119,131,3,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
120,132,3,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
121,133,1,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
122,133,5,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
123,134,3,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
124,136,4,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
125,139,1,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
126,139,5,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
127,141,3,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
128,144,1,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
129,145,1,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
130,145,3,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
131,146,3,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
132,146,6,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
133,147,1,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
134,147,2,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
135,147,3,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
136,148,6,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
137,149,2,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
138,150,2,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
139,150,5,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
140,152,1,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
141,152,2,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
142,152,3,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
143,152,4,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
144,152,5,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
145,154,6,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
146,155,1,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
147,156,3,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
148,157,5,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
149,158,5,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
150,160,2,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
151,163,2,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
152,165,3,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
153,166,3,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
154,167,5,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
155,169,5,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
156,170,3,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
157,172,2,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
158,177,4,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
159,178,1,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
160,178,3,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
161,180,3,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
162,181,5,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
163,183,3,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
164,183,4,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
165,184,5,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
166,186,4,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
167,186,5,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
168,187,6,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
169,189,4,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
170,191,2,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
171,192,1,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
172,193,5,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
173,194,4,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
174,194,5,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
175,195,4,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
176,199,1,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
177,199,6,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
178,202,1,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
179,202,3,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
180,205,4,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
181,206,5,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
182,208,1,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
183,210,6,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
184,211,5,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
185,213,4,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
186,213,5,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
187,214,5,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
188,217,3,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
189,217,6,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
190,219,2,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
191,220,5,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
192,222,3,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
193,223,2,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
194,223,5,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
195,224,3,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
196,224,6,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
197,226,5,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
198,228,4,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
199,229,4,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
200,231,1,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
201,231,4,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
202,233,1,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
203,235,1,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
204,236,1,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
205,236,6,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
206,238,3,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
207,239,6,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
208,244,1,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
209,245,6,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
210,246,1,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
211,246,5,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
212,247,3,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
213,248,5,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
214,249,6,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
215,251,5,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
216,252,6,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
217,254,4,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
218,256,3,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
219,258,5,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
220,260,3,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
221,261,2,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
222,262,1,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
223,262,2,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
224,263,2,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
225,263,6,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
226,264,5,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
227,264,6,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
228,266,1,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
229,266,6,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
230,268,3,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
231,269,1,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
232,269,3,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
233,269,5,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
234,270,3,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
235,270,6,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
236,272,4,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
237,272,6,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
238,273,3,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
239,273,4,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
240,273,5,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
241,274,4,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
242,274,6,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
243,275,4,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
244,276,1,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
245,277,2,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
246,278,3,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
247,278,4,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
248,279,4,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
249,282,3,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
250,283,5,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
251,283,6,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
252,285,1,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
253,285,2,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
254,286,1,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
255,288,1,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
256,289,3,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
257,289,5,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
258,292,3,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
259,294,3,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
260,294,5,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
261,297,5,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
262,297,6,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
263,301,2,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
264,302,2,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
265,303,6,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
266,305,1,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
267,305,3,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
268,306,6,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
269,307,4,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
270,307,6,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
271,308,6,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
272,309,4,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
273,310,2,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
274,313,6,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
275,314,4,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
276,315,3,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
277,315,5,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
278,315,6,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
279,317,2,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
280,317,5,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
281,318,1,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
282,319,4,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
283,320,3,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
284,320,6,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
285,322,5,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
286,324,4,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
287,325,5,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
288,327,2,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
289,327,3,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
290,328,5,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
291,331,1,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
292,332,1,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
293,332,4,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
294,333,4,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
295,334,1,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
